1,男女服装
255,,女装
255,,,汽车香水
255,,,改装配件
255,,,测速电子狗
255,,,汽车保险
255,,鲜花/乐器
255,,,鲜花速递
255,,,礼品定制
255,,,绿植园艺
255,,,乐器
255,,图书/音像
255,,,书籍
255,,,考试
255,,,计算机图书
255,,,期刊杂志
255,,,小说
255,,,漫画
255,,,CD/DVD
255,,,少儿图书
255,,,养生图书
255,,,艺术图书
255,,,励志图书
10,话费网游
255,,话费
255,,,话费直充
255,,,移动充值卡
255,,,联通充值卡
255,,,电信充值卡
255,,,固话充值卡
255,,,IP卡
255,,,网络电话
255,,,手机号码卡
255,,,双色球
255,,,大乐透
255,,,七星彩
255,,,七乐彩
255,,,福彩3D
255,,,排列三
255,,,排列五
255,,,22选5
255,,保险
255,,,旅行意外险
255,,,自驾意外险
255,,,家庭财产险
255,,,老人骨折险
255,,,家财火宅险
255,,,车险
255,,腾讯业务
255,,,Q币充值
255,,,Q点充值
255,,,QQ卡
255,,,超级QQ
255,,,QQ会员
255,,,红钻
255,,,黄钻
255,,,绿钻
255,,,蓝钻
255,,,DNF黑钻
255,,,CF会员
255,,,音速紫钻
11,票务旅游
255,,旅游
255,,,国内机票
255,,,国内酒店
255,,,酒店团购
255,,票务
255,,,演出门票
255,,,话剧歌剧
255,,,演唱会
255,,,音乐会
255,,,景区门票
255,,,温泉
255,,,主题乐园
255,,,四折电影票
255,,,折扣活动
255,,,免费抢票
255,,保险
255,,,旅行意外险
255,,,自驾意外险
255,,,家庭财产险
255,,,老人骨折险
255,,,家财火宅险
255,,,车险
